threads,N,runtime(ms),param
1, 64, 0.4675, 8
1, 64, 0.4603, 8
1, 64, 0.46, 8
1, 64, 0.4676, 8
1, 64, 0.4902, 8
1, 64, 0.4844, 8
1, 64, 0.4959, 8
1, 64, 0.5067, 8
1, 64, 0.5104, 8
1, 64, 0.5087, 8
1, 64, 0.5589, 16
1, 64, 0.5528, 16
1, 64, 0.5429, 16
1, 64, 0.5308, 16
1, 64, 0.5226, 16
1, 64, 0.5244, 16
1, 64, 0.5248, 16
1, 64, 0.5253, 16
1, 64, 0.5307, 16
1, 64, 0.5351, 16
1, 64, 0.568, 32
1, 64, 0.5618, 32
1, 64, 0.5606, 32
1, 64, 0.5514, 32
1, 64, 0.5513, 32
1, 64, 0.5515, 32
1, 64, 0.5582, 32
1, 64, 0.5528, 32
1, 64, 0.5464, 32
1, 64, 0.5463, 32
1, 128, 3.769, 8
1, 128, 3.7713, 8
1, 128, 3.7851, 8
1, 128, 3.7898, 8
1, 128, 3.823, 8
1, 128, 3.8, 8
1, 128, 3.7993, 8
1, 128, 3.8089, 8
1, 128, 3.8219, 8
1, 128, 3.8166, 8
1, 128, 4.2622, 16
1, 128, 4.273, 16
1, 128, 4.2355, 16
1, 128, 4.2264, 16
1, 128, 4.3017, 16
1, 128, 4.686, 16
1, 128, 4.1884, 16
1, 128, 4.2159, 16
1, 128, 4.2435, 16
1, 128, 4.2095, 16
1, 128, 4.4955, 32
1, 128, 4.5191, 32
1, 128, 4.523, 32
1, 128, 4.5176, 32
1, 128, 4.5246, 32
1, 128, 4.5454, 32
1, 128, 4.5226, 32
1, 128, 4.543, 32
1, 128, 4.5631, 32
1, 128, 4.5387, 32
1, 256, 30.7394, 8
1, 256, 30.8417, 8
1, 256, 30.8332, 8
1, 256, 30.8115, 8
1, 256, 30.7689, 8
1, 256, 30.756, 8
1, 256, 30.8019, 8
1, 256, 30.8584, 8
1, 256, 30.8023, 8
1, 256, 30.8274, 8
1, 256, 36.2029, 16
1, 256, 36.191, 16
1, 256, 36.0993, 16
1, 256, 36.4185, 16
1, 256, 36.1119, 16
1, 256, 36.0924, 16
1, 256, 36.1295, 16
1, 256, 36.1985, 16
1, 256, 36.1202, 16
1, 256, 36.1363, 16
1, 256, 38.0341, 32
1, 256, 38.1553, 32
1, 256, 38.0934, 32
1, 256, 38.1211, 32
1, 256, 38.0894, 32
1, 256, 38.1549, 32
1, 256, 38.1948, 32
1, 256, 38.2295, 32
1, 256, 38.1697, 32
1, 256, 38.2322, 32
1, 512, 319.779, 8
1, 512, 319.609, 8
1, 512, 319.594, 8
1, 512, 322.035, 8
1, 512, 319.776, 8
1, 512, 318.584, 8
1, 512, 322.493, 8
1, 512, 320.033, 8
1, 512, 319.825, 8
1, 512, 322.269, 8
1, 512, 352.609, 16
1, 512, 351.596, 16
1, 512, 352.542, 16
1, 512, 348.355, 16
1, 512, 349.341, 16
1, 512, 352.334, 16
1, 512, 352.138, 16
1, 512, 352.296, 16
1, 512, 353.255, 16
1, 512, 352.199, 16
1, 512, 347.593, 32
1, 512, 346.584, 32
1, 512, 347.25, 32
1, 512, 345.924, 32
1, 512, 347.488, 32
1, 512, 347.701, 32
1, 512, 347.828, 32
1, 512, 346.97, 32
1, 512, 346.089, 32
1, 512, 347.129, 32
