threads,N,runtime(ms),param
1, 64, 0.536, 8
1, 64, 0.5287, 8
1, 64, 0.5236, 8
1, 64, 0.5516, 8
1, 64, 0.5554, 8
1, 64, 0.5714, 8
1, 64, 0.5945, 8
1, 64, 0.5946, 8
1, 64, 0.5829, 8
1, 64, 0.5685, 8
1, 64, 0.5813, 16
1, 64, 0.56, 16
1, 64, 0.564, 16
1, 64, 0.5601, 16
1, 64, 0.5624, 16
1, 64, 0.5608, 16
1, 64, 0.5693, 16
1, 64, 0.5702, 16
1, 64, 0.5626, 16
1, 64, 0.5679, 16
1, 64, 0.5737, 32
1, 64, 0.5745, 32
1, 64, 0.5675, 32
1, 64, 0.5667, 32
1, 64, 0.5725, 32
1, 64, 0.565, 32
1, 64, 0.5655, 32
1, 64, 0.5651, 32
1, 64, 0.5709, 32
1, 64, 0.5679, 32
1, 128, 4.2888, 8
1, 128, 4.3238, 8
1, 128, 4.3748, 8
1, 128, 4.247, 8
1, 128, 4.3466, 8
1, 128, 4.2405, 8
1, 128, 4.2795, 8
1, 128, 4.2577, 8
1, 128, 4.3304, 8
1, 128, 4.2912, 8
1, 128, 4.4438, 16
1, 128, 4.441, 16
1, 128, 4.426, 16
1, 128, 4.4391, 16
1, 128, 4.4459, 16
1, 128, 4.4403, 16
1, 128, 4.4491, 16
1, 128, 4.4212, 16
1, 128, 4.4302, 16
1, 128, 4.4313, 16
1, 128, 4.627, 32
1, 128, 4.6347, 32
1, 128, 4.6536, 32
1, 128, 4.6411, 32
1, 128, 4.6187, 32
1, 128, 4.6447, 32
1, 128, 4.6434, 32
1, 128, 4.6336, 32
1, 128, 4.6631, 32
1, 128, 4.674, 32
1, 256, 34.9313, 8
1, 256, 34.8672, 8
1, 256, 34.8912, 8
1, 256, 34.8839, 8
1, 256, 34.9114, 8
1, 256, 34.9473, 8
1, 256, 34.9724, 8
1, 256, 35.0398, 8
1, 256, 35.1334, 8
1, 256, 35.1626, 8
1, 256, 37.1865, 16
1, 256, 37.255, 16
1, 256, 37.3111, 16
1, 256, 37.0658, 16
1, 256, 36.9547, 16
1, 256, 36.9679, 16
1, 256, 37.039, 16
1, 256, 36.889, 16
1, 256, 36.9179, 16
1, 256, 36.909, 16
1, 256, 38.9102, 32
1, 256, 38.3429, 32
1, 256, 37.9954, 32
1, 256, 38.5705, 32
1, 256, 38.6441, 32
1, 256, 38.9275, 32
1, 256, 38.6909, 32
1, 256, 38.6486, 32
1, 256, 38.6488, 32
1, 256, 38.6337, 32
1, 512, 292.391, 8
1, 512, 292.079, 8
1, 512, 292.46, 8
1, 512, 292.057, 8
1, 512, 292.668, 8
1, 512, 292.24, 8
1, 512, 291.308, 8
1, 512, 290.012, 8
1, 512, 291.739, 8
1, 512, 291.367, 8
1, 512, 312.217, 16
1, 512, 311.884, 16
1, 512, 310.033, 16
1, 512, 311.676, 16
1, 512, 312.113, 16
1, 512, 312.473, 16
1, 512, 311.922, 16
1, 512, 312.241, 16
1, 512, 312.584, 16
1, 512, 311.759, 16
1, 512, 312.658, 32
1, 512, 314.996, 32
1, 512, 315.096, 32
1, 512, 314.388, 32
1, 512, 314.682, 32
1, 512, 314.695, 32
1, 512, 314.355, 32
1, 512, 313.478, 32
1, 512, 314.958, 32
1, 512, 314.407, 32
1, 1024, 2323.02, 8
1, 1024, 2316.43, 8
1, 1024, 2311.13, 8
1, 1024, 2321.58, 8
1, 1024, 2315.93, 8
1, 1024, 2317.96, 8
1, 1024, 2314.64, 8
1, 1024, 2311.88, 8
1, 1024, 2312.59, 8
1, 1024, 2310.66, 8
1, 1024, 2486.5, 16
1, 1024, 2494.5, 16
1, 1024, 2482.89, 16
1, 1024, 2488.39, 16
1, 1024, 2487.18, 16
1, 1024, 2478.66, 16
