algorithm,n_runs,runtime(s),N,threads,param,L1_DC_MISS_PERCENT
vanilla,10,37.872,1024,16,1,8.19
parfor,10,4.617,1024,16,1,8.14
tiled,10,2.940,1024,16,8,9.24
tiled,10,3.691,1024,16,16,24.01
tiled,10,3.737,1024,16,32,25.88
tiled,10,3.798,1024,16,64,25.75
DAC_notemp,10,13.039,1024,16,16,6.65
DAC_notemp,10,12.540,1024,16,32,6.66
DAC_notemp,10,11.926,1024,16,64,6.11
DAC_temp,10,6.586,1024,16,16,6.77
DAC_temp,10,6.534,1024,16,32,6.59
DAC_temp,10,6.532,1024,16,64,6.10
strassens,10,11.541,1024,16,16,1.23
strassens,10,4.841,1024,16,32,1.45
strassens,10,4.739,1024,16,64,5.76
