threads,N,runtime(ms),param
1, 64, 0.6514, 1
1, 64, 0.5535, 1
1, 64, 0.5539, 1
1, 64, 0.554, 1
1, 64, 0.5612, 1
1, 64, 0.5591, 1
1, 64, 0.5801, 1
1, 64, 0.5828, 1
1, 64, 0.5827, 1
1, 64, 0.5832, 1
1, 128, 4.6082, 1
1, 128, 4.7515, 1
1, 128, 4.7433, 1
1, 128, 4.5181, 1
1, 128, 4.517, 1
1, 128, 4.5174, 1
1, 128, 4.5177, 1
1, 128, 4.5305, 1
1, 128, 4.5234, 1
1, 128, 4.5314, 1
1, 256, 36.9806, 1
1, 256, 37.0699, 1
1, 256, 37.2032, 1
1, 256, 37.2035, 1
1, 256, 37.2087, 1
1, 256, 37.2073, 1
1, 256, 37.2701, 1
1, 256, 37.2692, 1
1, 256, 37.3225, 1
1, 256, 37.3589, 1
1, 512, 348.751, 1
1, 512, 342.285, 1
1, 512, 340.109, 1
1, 512, 340.322, 1
1, 512, 340.285, 1
1, 512, 340.699, 1
1, 512, 340.375, 1
1, 512, 340.636, 1
1, 512, 340.885, 1
1, 512, 340.539, 1
1, 1024, 2804.02, 1
1, 1024, 2788.26, 1
1, 1024, 2775.08, 1
1, 1024, 2763.57, 1
1, 1024, 2736.57, 1
1, 1024, 2735.67, 1
1, 1024, 2737.25, 1
1, 1024, 2736.06, 1
1, 1024, 2734.68, 1
1, 1024, 2733.25, 1
1, 2048, 30558.2, 1
1, 2048, 30541.5, 1
1, 2048, 30560.2, 1
1, 2048, 30489, 1
1, 2048, 30531.3, 1
1, 2048, 30464.7, 1
1, 2048, 30457.5, 1
1, 2048, 30457.6, 1
1, 2048, 30527.6, 1
1, 2048, 30622.9, 1
2, 64, 0.5028, 1
2, 64, 0.3468, 1
2, 64, 0.3467, 1
2, 64, 0.3465, 1
2, 64, 0.3465, 1
2, 64, 0.3463, 1
2, 64, 0.3016, 1
2, 64, 0.2792, 1
2, 64, 0.2775, 1
2, 64, 0.2775, 1
2, 128, 2.2957, 1
2, 128, 2.2619, 1
2, 128, 2.2709, 1
2, 128, 2.2709, 1
2, 128, 2.2813, 1
2, 128, 2.2934, 1
2, 128, 2.291, 1
2, 128, 2.2851, 1
2, 128, 2.283, 1
2, 128, 2.2921, 1
2, 256, 18.6496, 1
2, 256, 18.7177, 1
2, 256, 18.6344, 1
2, 256, 18.6515, 1
2, 256, 18.6619, 1
2, 256, 18.6745, 1
2, 256, 18.6592, 1
2, 256, 18.7167, 1
2, 256, 18.7033, 1
2, 256, 18.72, 1
2, 512, 163.592, 1
2, 512, 163.762, 1
2, 512, 164.81, 1
2, 512, 163.938, 1
2, 512, 165.141, 1
2, 512, 165.021, 1
2, 512, 164.673, 1
2, 512, 164.187, 1
2, 512, 165.439, 1
2, 512, 164.417, 1
2, 1024, 1382.71, 1
2, 1024, 1381.56, 1
2, 1024, 1395.16, 1
2, 1024, 1381.69, 1
2, 1024, 1383.23, 1
2, 1024, 1388.34, 1
2, 1024, 1380.46, 1
2, 1024, 1383.44, 1
2, 1024, 1382.78, 1
2, 1024, 1394.98, 1
2, 2048, 13972.6, 1
2, 2048, 13982, 1
2, 2048, 13961.6, 1
2, 2048, 14008, 1
2, 2048, 14054.3, 1
2, 2048, 14015.1, 1
2, 2048, 13994.7, 1
2, 2048, 13975.2, 1
2, 2048, 14019.2, 1
2, 2048, 14000.9, 1
4, 64, 0.4046, 1
4, 64, 0.1774, 1
4, 64, 0.1774, 1
4, 64, 0.1771, 1
4, 64, 0.1767, 1
4, 64, 0.1767, 1
4, 64, 0.1768, 1
4, 64, 0.1765, 1
4, 64, 0.1764, 1
4, 64, 0.1769, 1
4, 128, 1.1602, 1
4, 128, 1.1817, 1
4, 128, 1.1709, 1
4, 128, 1.1758, 1
4, 128, 1.1799, 1
4, 128, 1.1759, 1
4, 128, 1.2006, 1
4, 128, 1.1762, 1
4, 128, 1.176, 1
4, 128, 1.176, 1
4, 256, 9.7456, 1
4, 256, 9.5801, 1
4, 256, 9.5841, 1
4, 256, 9.5831, 1
4, 256, 9.5978, 1
4, 256, 10.5706, 1
4, 256, 10.9264, 1
4, 256, 9.5855, 1
4, 256, 9.5881, 1
4, 256, 9.578, 1
4, 512, 86.6359, 1
4, 512, 84.3142, 1
4, 512, 84.4269, 1
4, 512, 88.1842, 1
4, 512, 92.5516, 1
4, 512, 84.5258, 1
4, 512, 84.8212, 1
4, 512, 87.0898, 1
4, 512, 85.4749, 1
4, 512, 84.7717, 1
4, 1024, 756.651, 1
4, 1024, 756.709, 1
4, 1024, 746.862, 1
4, 1024, 753.377, 1
4, 1024, 750.087, 1
4, 1024, 752.343, 1
4, 1024, 758.533, 1
4, 1024, 747.519, 1
4, 1024, 750.463, 1
4, 1024, 747.506, 1
4, 2048, 6919.37, 1
4, 2048, 6935.55, 1
4, 2048, 6956.54, 1
4, 2048, 6914.23, 1
4, 2048, 6871.56, 1
4, 2048, 6905.69, 1
4, 2048, 6879.99, 1
4, 2048, 6899.86, 1
4, 2048, 6916.32, 1
4, 2048, 6920.5, 1
8, 64, 0.4824, 1
8, 64, 0.0953, 1
8, 64, 0.0916, 1
8, 64, 0.0916, 1
8, 64, 0.0913, 1
8, 64, 0.0988, 1
8, 64, 0.0914, 1
8, 64, 0.0915, 1
8, 64, 0.0916, 1
8, 64, 0.0915, 1
8, 128, 0.593, 1
8, 128, 0.596, 1
8, 128, 0.5914, 1
8, 128, 0.5991, 1
8, 128, 0.6228, 1
8, 128, 0.5969, 1
8, 128, 0.6451, 1
8, 128, 0.6726, 1
8, 128, 0.6719, 1
8, 128, 0.6732, 1
8, 256, 5.7533, 1
8, 256, 5.2325, 1
8, 256, 5.3954, 1
8, 256, 5.9882, 1
8, 256, 5.8278, 1
8, 256, 5.5262, 1
8, 256, 5.5663, 1
8, 256, 5.6279, 1
8, 256, 5.6201, 1
8, 256, 5.5677, 1
8, 512, 48.4046, 1
8, 512, 49.0756, 1
8, 512, 51.5679, 1
8, 512, 49.3906, 1
8, 512, 45.9955, 1
8, 512, 48.9533, 1
8, 512, 43.6243, 1
8, 512, 46.0406, 1
8, 512, 43.6743, 1
8, 512, 47.3262, 1
8, 1024, 386.216, 1
8, 1024, 391.482, 1
8, 1024, 384.194, 1
8, 1024, 385.059, 1
8, 1024, 392.198, 1
8, 1024, 379.207, 1
8, 1024, 397.266, 1
8, 1024, 394.118, 1
8, 1024, 378.934, 1
8, 1024, 387.153, 1
8, 2048, 3659.69, 1
8, 2048, 3648.58, 1
8, 2048, 3683.23, 1
8, 2048, 3627.78, 1
8, 2048, 3663.19, 1
8, 2048, 3689.6, 1
8, 2048, 3651.52, 1
8, 2048, 3736.64, 1
8, 2048, 3656.06, 1
8, 2048, 3672.77, 1
12, 64, 0.4604, 1
12, 64, 0.0647, 1
12, 64, 0.0659, 1
12, 64, 0.0647, 1
12, 64, 0.0646, 1
12, 64, 0.0644, 1
12, 64, 0.0614, 1
12, 64, 0.0612, 1
12, 64, 0.061, 1
12, 64, 0.0622, 1
12, 128, 0.4806, 1
12, 128, 0.5123, 1
12, 128, 0.4708, 1
12, 128, 0.4686, 1
12, 128, 0.5132, 1
12, 128, 0.479, 1
12, 128, 0.4794, 1
12, 128, 0.4935, 1
12, 128, 0.4891, 1
12, 128, 0.5007, 1
12, 256, 3.9166, 1
12, 256, 3.999, 1
12, 256, 3.9893, 1
12, 256, 3.9794, 1
12, 256, 4.1188, 1
12, 256, 4.2512, 1
12, 256, 4.2167, 1
12, 256, 4.0971, 1
12, 256, 4.1893, 1
12, 256, 4.2298, 1
12, 512, 34.3642, 1
12, 512, 35.1301, 1
12, 512, 34.7673, 1
12, 512, 34.2278, 1
12, 512, 35.5462, 1
12, 512, 35.6461, 1
12, 512, 36.1328, 1
12, 512, 35.4686, 1
12, 512, 36.1318, 1
12, 512, 36.9734, 1
12, 1024, 300.173, 1
12, 1024, 302.328, 1
12, 1024, 298.185, 1
12, 1024, 298.052, 1
12, 1024, 294.154, 1
12, 1024, 301.427, 1
12, 1024, 299.408, 1
12, 1024, 299.496, 1
12, 1024, 303.872, 1
12, 1024, 303.39, 1
12, 2048, 3225.83, 1
12, 2048, 3274.67, 1
12, 2048, 3227.14, 1
12, 2048, 3311.66, 1
12, 2048, 3262.64, 1
12, 2048, 3254.62, 1
12, 2048, 3237.79, 1
12, 2048, 3253.84, 1
12, 2048, 3260.32, 1
12, 2048, 3249.72, 1
16, 64, 0.585, 1
16, 64, 0.0529, 1
16, 64, 0.0647, 1
16, 64, 0.0818, 1
16, 64, 0.0762, 1
16, 64, 0.0811, 1
16, 64, 0.0812, 1
16, 64, 0.0734, 1
16, 64, 0.0766, 1
16, 64, 0.0579, 1
16, 128, 0.3579, 1
16, 128, 0.3527, 1
16, 128, 0.3529, 1
16, 128, 0.3604, 1
16, 128, 0.3562, 1
16, 128, 0.3805, 1
16, 128, 0.3673, 1
16, 128, 0.3673, 1
16, 128, 0.3826, 1
16, 128, 0.3868, 1
16, 256, 4.3291, 1
16, 256, 4.935, 1
16, 256, 3.0462, 1
16, 256, 3.216, 1
16, 256, 3.1061, 1
16, 256, 3.5777, 1
16, 256, 3.0967, 1
16, 256, 3.2843, 1
16, 256, 3.1355, 1
16, 256, 3.1404, 1
16, 512, 33.015, 1
16, 512, 29.8645, 1
16, 512, 29.1487, 1
16, 512, 28.2094, 1
16, 512, 32.233, 1
16, 512, 27.7362, 1
16, 512, 27.6868, 1
16, 512, 28.4668, 1
16, 512, 29.7226, 1
16, 512, 28.8984, 1
16, 1024, 228.926, 1
16, 1024, 237.622, 1
16, 1024, 239.223, 1
16, 1024, 233.81, 1
16, 1024, 227.802, 1
16, 1024, 228.635, 1
16, 1024, 230.937, 1
16, 1024, 225.381, 1
16, 1024, 223.592, 1
16, 1024, 222.155, 1
16, 2048, 2674.7, 1
16, 2048, 2661.06, 1
16, 2048, 2659.8, 1
16, 2048, 2726.08, 1
16, 2048, 2673.06, 1
16, 2048, 2675.94, 1
16, 2048, 2655.8, 1
16, 2048, 2719.41, 1
16, 2048, 2652.44, 1
16, 2048, 2680.88, 1
