threads,N,runtime(ms),param
1, 64, 1.2694, 16
1, 64, 0.7399, 16
1, 64, 0.7271, 16
1, 64, 0.7225, 16
1, 64, 0.7414, 16
1, 64, 0.7633, 16
1, 64, 0.7872, 16
1, 64, 0.7828, 16
1, 64, 0.7708, 16
1, 64, 0.7901, 16
1, 64, 0.6015, 32
1, 64, 0.5924, 32
1, 64, 0.5864, 32
1, 64, 0.5874, 32
1, 64, 0.5973, 32
1, 64, 0.5973, 32
1, 64, 0.6055, 32
1, 64, 0.6066, 32
1, 64, 0.6039, 32
1, 64, 0.6047, 32
1, 64, 0.5752, 64
1, 64, 0.5706, 64
1, 64, 0.5687, 64
1, 64, 0.5617, 64
1, 64, 0.5669, 64
1, 64, 0.5691, 64
1, 64, 0.5654, 64
1, 64, 0.5649, 64
1, 64, 0.5645, 64
1, 64, 0.5647, 64
1, 128, 5.4397, 16
1, 128, 5.4632, 16
1, 128, 5.4642, 16
1, 128, 5.4632, 16
1, 128, 5.476, 16
1, 128, 5.4677, 16
1, 128, 5.4431, 16
1, 128, 5.4324, 16
1, 128, 5.4087, 16
1, 128, 5.4206, 16
1, 128, 4.515, 32
1, 128, 4.538, 32
1, 128, 4.5109, 32
1, 128, 4.4825, 32
1, 128, 4.5113, 32
1, 128, 4.5157, 32
1, 128, 4.4927, 32
1, 128, 4.3365, 32
1, 128, 4.405, 32
1, 128, 4.3638, 32
1, 128, 4.4454, 64
1, 128, 4.4371, 64
1, 128, 4.4467, 64
1, 128, 4.4253, 64
1, 128, 4.4294, 64
1, 128, 4.4347, 64
1, 128, 4.4312, 64
1, 128, 4.4391, 64
1, 128, 4.4342, 64
1, 128, 4.4139, 64
1, 256, 37.6495, 16
1, 256, 37.7896, 16
1, 256, 37.999, 16
1, 256, 38.1272, 16
1, 256, 37.7527, 16
1, 256, 37.7332, 16
1, 256, 37.9896, 16
1, 256, 37.6763, 16
1, 256, 37.5809, 16
1, 256, 37.6269, 16
1, 256, 31.8876, 32
1, 256, 31.6757, 32
1, 256, 31.8993, 32
1, 256, 31.4033, 32
1, 256, 31.4582, 32
1, 256, 31.4648, 32
1, 256, 31.8086, 32
1, 256, 31.4226, 32
1, 256, 31.4591, 32
1, 256, 31.4591, 32
1, 256, 32.5065, 64
1, 256, 32.2569, 64
1, 256, 31.9239, 64
1, 256, 32.233, 64
1, 256, 32.3488, 64
1, 256, 32.2383, 64
1, 256, 32.1926, 64
1, 256, 32.4938, 64
1, 256, 32.1618, 64
1, 256, 32.1901, 64
1, 512, 266.793, 16
1, 512, 267.952, 16
1, 512, 267.005, 16
1, 512, 267.086, 16
1, 512, 266.268, 16
1, 512, 267.311, 16
1, 512, 267.146, 16
1, 512, 267.244, 16
1, 512, 267.744, 16
1, 512, 267.136, 16
1, 512, 222.295, 32
1, 512, 222.073, 32
1, 512, 220.469, 32
1, 512, 221.339, 32
1, 512, 221.034, 32
1, 512, 221.258, 32
1, 512, 220.612, 32
1, 512, 220.316, 32
1, 512, 219.919, 32
1, 512, 220.106, 32
1, 512, 222.587, 64
1, 512, 224.162, 64
1, 512, 226.46, 64
1, 512, 225.626, 64
1, 512, 224.185, 64
1, 512, 225.461, 64
1, 512, 224.573, 64
1, 512, 223.811, 64
1, 512, 224.378, 64
1, 512, 224.3, 64
1, 1024, 1865.12, 16
1, 1024, 1865.05, 16
1, 1024, 1865.95, 16
1, 1024, 1865.16, 16
1, 1024, 1863.48, 16
1, 1024, 1861.72, 16
1, 1024, 1862.68, 16
1, 1024, 1863.02, 16
1, 1024, 1862.34, 16
1, 1024, 1862.29, 16
1, 1024, 1546.24, 32
1, 1024, 1549.03, 32
1, 1024, 1550.5, 32
1, 1024, 1546.63, 32
1, 1024, 1549.65, 32
1, 1024, 1549.06, 32
1, 1024, 1545.58, 32
1, 1024, 1545.27, 32
1, 1024, 1549.39, 32
1, 1024, 1548.52, 32
1, 1024, 1573.59, 64
1, 1024, 1569.93, 64
1, 1024, 1572.63, 64
1, 1024, 1572.78, 64
1, 1024, 1569.92, 64
1, 1024, 1571.9, 64
1, 1024, 1570.78, 64
1, 1024, 1574.29, 64
1, 1024, 1571.7, 64
1, 1024, 1569.32, 64
1, 2048, 13123.7, 16
1, 2048, 13111.6, 16
1, 2048, 13129, 16
1, 2048, 13122.6, 16
1, 2048, 13126, 16
1, 2048, 13103.8, 16
1, 2048, 13108.4, 16
1, 2048, 13103.1, 16
1, 2048, 13104.6, 16
1, 2048, 13108, 16
1, 2048, 10846.6, 32
1, 2048, 10854.5, 32
1, 2048, 10849.6, 32
1, 2048, 10837.5, 32
1, 2048, 10851.4, 32
1, 2048, 10893.8, 32
1, 2048, 10842, 32
1, 2048, 10834.2, 32
1, 2048, 10830.8, 32
1, 2048, 10837.9, 32
1, 2048, 11033.2, 64
1, 2048, 11026.3, 64
1, 2048, 11038.7, 64
1, 2048, 11032.7, 64
1, 2048, 11033.9, 64
1, 2048, 11036.4, 64
1, 2048, 11032.3, 64
1, 2048, 11027.5, 64
