threads,N,runtime(ms),param
1, 64, 0.2206, 8
1, 64, 0.2205, 8
1, 64, 0.2205, 8
1, 64, 0.2204, 8
1, 64, 0.2249, 8
1, 64, 0.2216, 8
1, 64, 0.2216, 8
1, 64, 0.2215, 8
1, 64, 0.2215, 8
1, 64, 0.2344, 8
1, 64, 0.2708, 16
1, 64, 0.2706, 16
1, 64, 0.2707, 16
1, 64, 0.2774, 16
1, 64, 0.2733, 16
1, 64, 0.2734, 16
1, 64, 0.2769, 16
1, 64, 0.2707, 16
1, 64, 0.2707, 16
1, 64, 0.2707, 16
1, 64, 0.3476, 32
1, 64, 0.3411, 32
1, 64, 0.3411, 32
1, 64, 0.3362, 32
1, 64, 0.3287, 32
1, 64, 0.3287, 32
1, 64, 0.3287, 32
1, 64, 0.3286, 32
1, 64, 0.3334, 32
1, 64, 0.3286, 32
1, 64, 0.403, 64
1, 64, 0.4031, 64
1, 64, 0.4031, 64
1, 64, 0.4275, 64
1, 64, 0.4031, 64
1, 64, 0.403, 64
1, 64, 0.4029, 64
1, 64, 0.4031, 64
1, 64, 0.4031, 64
1, 64, 0.403, 64
1, 128, 1.7686, 8
1, 128, 1.8126, 8
1, 128, 1.8474, 8
1, 128, 1.7981, 8
1, 128, 1.7895, 8
1, 128, 1.7925, 8
1, 128, 1.7958, 8
1, 128, 1.7749, 8
1, 128, 1.7742, 8
1, 128, 1.7911, 8
1, 128, 2.0799, 16
1, 128, 2.0591, 16
1, 128, 2.0528, 16
1, 128, 2.0589, 16
1, 128, 2.0463, 16
1, 128, 2.043, 16
1, 128, 2.0432, 16
1, 128, 2.0463, 16
1, 128, 2.044, 16
1, 128, 2.0444, 16
1, 128, 2.7053, 32
1, 128, 2.7226, 32
1, 128, 2.7043, 32
1, 128, 2.7041, 32
1, 128, 2.708, 32
1, 128, 2.705, 32
1, 128, 2.708, 32
1, 128, 2.7081, 32
1, 128, 2.7037, 32
1, 128, 2.7044, 32
1, 128, 3.2416, 64
