threads,N,runtime(ms),param
1, 64, 0.6992, 1
1, 64, 0.6248, 1
1, 64, 0.6044, 1
1, 64, 0.5826, 1
1, 64, 0.5579, 1
1, 64, 0.6848, 1
1, 64, 0.5624, 1
1, 64, 0.7017, 1
1, 64, 0.5697, 1
1, 64, 0.5693, 1
1, 128, 4.6847, 1
1, 128, 4.9334, 1
1, 128, 4.9665, 1
1, 128, 4.5286, 1
1, 128, 4.5622, 1
1, 128, 4.8867, 1
1, 128, 4.5052, 1
1, 128, 4.5333, 1
1, 128, 4.5222, 1
1, 128, 4.5176, 1
1, 256, 36.8759, 1
1, 256, 36.9401, 1
1, 256, 36.954, 1
1, 256, 36.962, 1
1, 256, 36.9499, 1
1, 256, 36.9274, 1
1, 256, 36.9693, 1
1, 256, 37.0912, 1
1, 256, 37.0836, 1
1, 256, 37.1069, 1
1, 512, 365.896, 1
1, 512, 363.377, 1
1, 512, 363.236, 1
1, 512, 363.473, 1
1, 512, 363.398, 1
1, 512, 363.435, 1
1, 512, 364.734, 1
1, 512, 364.147, 1
1, 512, 360.861, 1
1, 512, 352.002, 1
1, 1024, 2835, 1
1, 1024, 2815.25, 1
1, 1024, 2800.6, 1
1, 1024, 2796.12, 1
1, 1024, 2771.94, 1
1, 1024, 2762.44, 1
1, 1024, 2744.29, 1
1, 1024, 2729.98, 1
1, 1024, 2753.31, 1
1, 1024, 2743.02, 1
1, 2048, 30970.8, 1
1, 2048, 31018.2, 1
1, 2048, 30944.8, 1
1, 2048, 30965.4, 1
1, 2048, 30974.5, 1
1, 2048, 30919, 1
1, 2048, 30774.4, 1
1, 2048, 30800, 1
1, 2048, 30961.1, 1
1, 2048, 30850.6, 1
